Date,Close,RSI,SMA_200,Signal,Signal_Name
2011-07-25,1.0290000438690186,48.73789104544981,1.0086001002788543,-1,SELL
2011-07-27,1.0334999561309814,51.85839251579254,1.0088656002283096,1,BUY
2011-07-28,1.0465999841690063,60.75031135392513,1.0090865999460221,-1,SELL
2011-08-15,1.0261000394821167,49.70414320436287,1.0103436011075972,1,BUY
2011-08-16,1.0292999744415283,48.17073930542922,1.0104111009836196,-1,SELL
2011-08-23,1.0293999910354614,47.84689336350635,1.0110061004757882,1,BUY
2011-08-24,1.039199948310852,52.915732260880084,1.0112386003136635,-1,SELL
2011-08-26,1.0313999652862549,54.62749181951262,1.0115540996193886,1,BUY
2011-08-31,1.0442999601364136,79.83737158364025,1.01207859903574,-1,SELL
2011-09-07,1.038599967956543,56.53098420413123,1.0134845992922783,1,BUY
2011-09-08,1.0478999614715576,69.45525472315121,1.013804599046707,-1,SELL
2011-10-14,1.0384999513626099,70.1228853666232,1.0157595974206926,1,BUY
2011-10-17,1.0436999797821045,74.1808830261433,1.0160265973210334,-1,SELL
2011-10-24,1.041100025177002,81.13832579308313,1.0174694976210594,1,BUY
2011-10-26,1.0595999956130981,87.84160769976143,1.0182249975204467,-1,SELL
2011-10-27,1.0436999797821045,70.04834604132594,1.0184969973564149,1,BUY
2011-10-31,1.0598000288009644,70.26717562536432,1.0192259976267815,-1,SELL
2011-11-04,1.0497000217437744,53.48838821106094,1.0204179978370667,1,BUY
2011-11-07,1.0569000244140625,59.641223842858025,1.0207784980535508,-1,SELL
2011-11-11,1.0313999652862549,45.463030697724214,1.0216779980063437,1,BUY
2011-11-14,1.0425000190734863,46.80659216831957,1.0218664982914925,-1,SELL
2011-12-07,1.034000039100647,53.09036843358107,1.0249274984002112,1,BUY
2011-12-09,1.0403000116348267,60.03020686307122,1.0254379984736444,-1,SELL
2011-12-13,1.031599998474121,57.02001277483835,1.0259389984607696,1,BUY
2011-12-15,1.028499960899353,58.46591242361823,1.0264274981617927,-1,SELL
2011-12-20,1.0289000272750854,46.65673550578954,1.0271919980645179,1,BUY
2011-12-27,1.0367000102996826,52.85410770227256,1.0286734980344772,-1,SELL
2011-12-30,1.0343999862670898,44.591607412592566,1.0293444979190827,1,BUY
2012-01-04,1.048200011253357,71.64850136239782,1.0299979987740517,-1,SELL
2012-01-10,1.0479999780654907,68.22430600687031,1.0309154984354973,1,BUY
2012-01-11,1.0470999479293823,70.19210930515119,1.0311434981226921,-1,SELL
2012-01-17,1.0497000217437744,72.28545932616723,1.0321249985694885,1,BUY
2012-01-19,1.0534000396728516,76.38877851068904,1.0326114988327026,-1,SELL
2012-01-20,1.0530999898910522,69.65495412542339,1.0328269988298415,1,BUY
2012-01-24,1.0601999759674072,67.75129877229426,1.0333194988965988,-1,SELL
2012-01-31,1.0608999729156494,68.06273736374501,1.0343909984827042,1,BUY
2012-02-01,1.063599944114685,68.06263769870742,1.0345804983377456,-1,SELL
2012-02-07,1.0677000284194946,70.32972431274685,1.0352089977264405,1,BUY
2012-02-09,1.0743000507354736,75.11857378128187,1.0356354981660842,-1,SELL
2012-03-16,1.0433000326156616,26.07886596900559,1.0389840000867843,1,BUY
2012-03-19,1.0506000518798828,29.642882991812883,1.0390775001049042,-1,SELL
2012-06-20,1.0357999801635742,92.28957743497473,1.0353305003046989,1,BUY
2012-06-21,1.0393999814987183,92.17994350282486,1.035443499982357,-1,SELL
